--- <a target="_blank" href="https://scholar.google.hu/citations?user=SulBMDIAAAAJ&hl=hu&oi=ao">Google Scholar</a>
--- <a target="_blank" href="https://mta.academia.edu/No%C3%A9miVad%C3%A1sz">Academia.edu</a>
--- 2019
Ligeti-Nagy Noémi, Dömötör Andrea, Vadász Noémi.	What does the Nom say? An algorithm for case disambiguation in Hungarian.	The fifth International Workshop on Computational Linguistics for Uralic Languages : Proceedings of the Workshop. 2019, pp. 27-41.	https://www.aclweb.org/anthology/W19-0303
Indig Balázs, Sass Bálint, Simon Eszter, Mittelholcz Iván, Vadász Noémi, Makrai Márton.	One format to rule them all -- The emtsv pipeline for Hungarian.	Proceedings of the 13th Linguistic Annotation Workshop
Vadász Noémi, Indig Balázs.	A birtokos esete az ablakkal.	Scheibl György (szerk.) LingDok: Nyelvész-doktoranduszok dolgozatai 17. SZTE Nyelvtudományi Doktori Iskola, Szeged. 2018. pp. 85-99.
--- 2017
Vadász Noémi, Kalivoda Ágnes, Indig Balázs.	Ablak által világosan - az igekötõk és az infinitívuszi vonzatok segítségével.	Vincze Veronika (szerk.) XIII. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2017). Szeged: Szegedi Tudományegyetem Informatikai Intézet. 2017. pp. 3-12.
Vadász Noémi. Anaforafeloldás menet közben -- névmások egy pszicholingvisztikailagmotivált elemzõben.	Ludányi Zsófia (szerk.) Doktoranduszok tanulmányai az alkalmazott nyelvészet körébõl. Budapest, MTA Nyelvtudományi Intézet, pp. 192-205.
Vadász Noémi.	Beszámoló a XIII. Magyar Számítógépes Nyelvészeti Konferenciáról.	In: Dróth Júlia (szerk.) Modern Nyelvoktatás. 2-3. Budapest, Tinta Könyvkiadó, 2017. pp. 137-139.
--- 2016
Turi Gergõ, Vadász Noémi (szerk.)	A Nyelvtudományi Doktori Iskola tanulmányai.	Studia Varia Tanulmánykötet. PPKE BTK, Budapest. 2016. 87-258.
Balázs Indig, Noémi Vadász.	Window in Human Parsing -- How Far Can a Preverb Go?	Marko, Tadi&#263; and Bekavac, Bo&#382;o (szerk.) Proceedings of the Tenth International Con-ference on Natural Language Processing (HrTAL2016). Elfogadva, megjelenés alatt.
Balázs Indig, Noémi Vadász, Ágnes Kalivoda.	Decreasing Entropy: How Wide to Open the Window?	Carlos Martín-Vide, Takaaki Mizuki and Miguel A. Vega-Rodríguez (szerk.) Theory and Practice of Natural Computing: 5th International Conference (TPNC 2016). Cham, Springer International Publishing, 2016. pp. 137-148.
Prószéky Gábor, Indig Balázs, Vadász Noémi.	Performanciaalapú elemzõ magyar szövegek számítógépes megértéséhez.	In: Kas Bence (szerk.) "Szavad ne feledd!": Tanulmányok Bánréti Zoltán tiszteletére. Budapest: MTA Nyelvtudományi Intézet, 2016. pp. 223-232.
--- 2014
Gábor Alberti, Noémi Vadász, Judit Kleiber.	Ideal and Deviant Interlocutors in a Formal Interpretation System.	Andrzej Zuczkowski, Ramona Bongelli, Ilaria Riccioni, Carla Canestrari (szerk.) Communicating Certainty and Uncertainty in Medical, Supportive and Scientific Contexts. Benjamins Dialogue Studies Series 25. Amsterdam: Benjamins, 2014. pp. 59-78.
--- 2013
Noémi Vadász, Gábor Alberti, Judit Kleiber.	The Matrix of Beliefs, Desires and Intentions -- Sentence by Sentence.	In: International Journal of Computational Linguistics and Applications 4:(1), 2013. pp. 95-110.
Alberti Gábor, Károly Márton, Kilián Imre, Kleiber Judit, Vadász Noémi.	Az igazság pillanata -- avagy a ReALIS alfa horgonyzó függvénye.	Vincze Veronika és Tanács Attila (szerk.) IX. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2013) Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2013. pp. 236-250.
--- 2012
Vadász Noémi.	A beálló melléknévi igenév problémái.	Akikre büszkék vagyunk. Válogatás a Fiatal bölcsészek a tudományért intézményközi TDK konferencián bemutatott dolgozatokból. Szombathely: Nyugat-magyarországi Egyetem Savaria Egyetemi Központ Bölcsészettudományi Kar, 2012. pp. 234-242.
