--- <a target="_blank" href="http://scholar.google.hu/citations?user=rO1PGAIAAAAJ&hl=en">Google Scholar</a>
--- <a target="_blank" href="https://nytud.academia.edu/EszterSimon">Academia.edu</a>
--- 2018
Anna Babarczy, Ildikó Bencze M., István Fekete, Eszter Simon.	The Automatic Identification of Conceptual Metaphors in Hungarian Texts: A Corpus-based Analysis.	In: Núria Bel, Béatrice Daille, Andrejs Vasiljevs (eds.): <em>Methods for the automatic acquisition of Language Resources and their evaluation methods.</em> LREC 2010 Workshop. Proceedings. Malta, 2010.	http://www.lrec-conf.org/proceedings/lrec2010/workshops/W19.pdf
Babarczy Anna, Bencze Ildikó, Fekete István, Simon Eszter.	A metaforikus nyelvhasználat egy korpuszalapú elemzése.	In: Tanács Attila, Vincze Veronika (szerk.): <em>VII. Magyar Számítógépes Nyelvészeti Konferencia,</em> Szeged, 2010.	http://www.inf.u-szeged.hu/mszny2010/mszny2010.pdf
--- 2009
Babarczy Anna, Serény András, Simon Eszter.	Magyar igei vonzatkeretek gépi tanulása.	In: Tanács A., Szauter D., Vincze V. (szerk.): <em>MSZNY2009, VI.  Magyar Számítógépes Nyelvészeti Konferencia,</em> SZTE, Szeged, 2009., p. 333-342.	http://www.inf.u-szeged.hu/mszny2009/MSZNY2009_press_b5_mod_opt.pdf
Oravecz Csaba, Sass Bálint, Simon Eszter.	Gépi tanulási módszerek ómagyar kori szövegek normalizálására.	In: Tanács A., Szauter D., Vincze V. (szerk.) : <em>MSZNY2009, VI. Magyar Számítógépes Nyelvészeti Konferencia,</em> SZTE, Szeged, 2009., p. 317-324.	ocs_sb_se_omagyar.pdf	ocs_sb_se_omagyar_sl.pdf 
--- 2008
András Serény, Eszter Simon, Anna Babarczy.	Automatic acquisition of Hungarian subcategorization frames.	In: <em>Proceedings of the 9th International Symposium of Hungarian Researchers on Computational Intelligence,</em> 2008.	https://www.academia.edu/23271729/Automatic_Acquisition_of_Hungarian_Subcategorization_Frames
Simon Eszter.	Nyelvészeti problémák a tulajdonnév-felismerés területén.	In: Sinkovics Balázs (szerk.): <em>LingDok 7. Nyelvész-doktoranduszok dolgozatai.</em> Szegedi Tudományegyetem, Nyelvtudományi Doktori Iskola, Szeged, 2008.	http://nydi.szte.hu/LingDok_konfkotetek_files/lingdok7.pdf
--- 2007
Richárd Farkas, Eszter Simon, György Szarvas, Dániel Varga.	GYDER: maxent metonymy resolution.	In: <em>Proceedings of the 4th International Workshop on Semantic Evaluations (SemEval-2007),</em> pages 161-164, Prague, June 2007. Association for Computational Linguistics.	http://www.aclweb.org/anthology-new/W/W07/W07-2033.pdf
Dániel Varga and Eszter Simon.	Hungarian named entity recognition with a maximum entropy approach.	In: <em>Acta Cybernetica</em> 18(2), 2007, 293-301.	https://www.academia.edu/29637016/Hungarian_named_entity_recognition_with_a_maximum_entropy_approach
--- 2006
Simon Eszter.	Tükörben az emlékezet tükre. Douwe Draaisma: A metaforamasina. Az emlékezés egyik lehetséges története. (recenzió)	In: <em>Magyar Pszichológiai Szemle</em> 61. kötet, 2. szám, 2006. június, 326-329.
Simon Eszter, Farkas Richárd, Halácsy Péter, Sass Bálint, Szarvas György, Varga Dániel.	A HunNER korpusz.	In: <em>IV. Magyar Számítógépes Nyelvészeti Konferencia,</em> Szegedi Tudományegyetem, 2006. 373-376.	http://www.inf.u-szeged.hu/projectdirs/mszny2006/2006.pdf
Simon Eszter és Szamarasz Vera Zoé.	Kövecses Zoltán: A metafora. Gyakorlati bevezetés a kognitív metaforaelméletbe. (recenzió)	In: <em>Magyar Pszichológiai Szemle</em> 61. kötet, 3. szám, 2006. szeptember, 496-501.
Viktor Trón, Péter Halácsy, Péter Rebrus, András Rung, Péter Vajda, Eszter Simon.	Morphdb.hu: Hungarian lexical database and morphological grammar.	In: Proceedings of 5th International Conference on Language Resources and Evaluation (LREC'06). ELRA, 2006. 1670-1673.	http://www.lrec-conf.org/proceedings/lrec2006/pdf/683_pdf.pdf
Viktor Trón, Péter Halácsy, Péter Rebrus, András Rung, Péter Vajda, and Eszter Simon.	Morphdb.hu: Hungarian lexical database and morphological grammar.	In: S. Nagy Katalin és Szakadát István (szerk.): <em>Média és Társadalom. Válogatás a Szociológia és Kommunikáció Tanszék Média Oktató és Kutató Központ munkatársainak legújabb munkáiból.</em> Mûegyetemi Kiadó, 2006.
Varga Dániel és Simon Eszter.	Magyar nyelvû tulajdonnév-felismerés maximum entrópia módszerrel.	In: <em>IV. Magyar Számítógépes Nyelvészeti Konferencia,</em> Szegedi Tudományegyetem, 2006. 32-38.	http://www.inf.u-szeged.hu/projectdirs/mszny2006/2006.pdf
--- 2005
Trón Viktor, Halácsy Péter, Rebrus Péter, Rung András, Simon Eszter, Vajda Péter.	morphdb.hu: magyar morfológiai nyelvtan és szótári adatbázis.	In: <em>III. Magyar Számítógépes Nyelvészeti Konferencia,</em> Szegedi Tudományegyetem, 2005. 169-179.	http://www.inf.u-szeged.hu/projectdirs/mszny2005/2005.pdf
